NONC X. galericulata thallus measurements (mm) of the width and height.,,,,,,"Measured the 1st week of May 2011, on the north side of each tree, focused on the 45-55cm high quadrat.",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Note, after looking at the way the data is distributed within each tree, it might make more sense to use the median instead of the average value per tree.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"A few mistakes in there were updated on Dec 2, 2018.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,Xanthomendoza galericulata sizes,,,,,,,,,,,,,,,
Tree,Genotype,Measurement,Thallus #1,Thallus #2,Thallus #3,Thallus #4,Thallus #5,Thallus #6,Thallus #7,Thallus #8,Thallus #9,Thallus #10,Average one way direction,Average thallus area (mm^2) (assuming a square),Average thallus area (mm^2) (assuming a circle),Notes,,
,,,,,,,,,,,,,,,,,,
N4-20,1023,Dimension 1,3.43,2.90,2.24,3.21,2.06,1.38,1.67,2.92,5.52,4.06,2.939,,,,,
,,Dimension 2,2.82,5.02,2.53,4.47,3.42,1.83,1.98,3.08,9.70,2.79,3.764,11.062396,8.822025907,,,
,,,,,,,,,,,,,,,,,,
N4-24,10,Dimension 1,4.02,2.91,1.31,5.86,1.50,11.82,2.41,0.83,1.21,2.20,3.407,,,,,
,,Dimension 2,3.36,2.58,3.43,4.48,1.50,10.25,2.03,0.83,1.96,2.99,3.341,11.382787,8.940875303,,,
,,,,,,,,,,,,,,,,,,
N4-26,999,Dimension 1,1.11,3.95,1.83,3.29,1.89,1.58,1.89,1.32,2.36,0.64,1.986,,,,,
,,Dimension 2,1.02,3.65,2.28,1.68,1.89,2.38,0.92,1.32,2.91,0.64,1.869,3.711834,2.917955435,,,
,,,,,,,,,,,,,,,,,,
N4-30,11,Dimension 1,2.06,4.09,2.57,1.27,0.50,3.67,1.94,2.07,6.10,2.07,2.634,,,,,
,,Dimension 2,1.83,3.55,2.41,1.27,0.50,3.95,1.94,2.07,5.91,2.07,2.55,6.7167,5.276669286,,,
,,,,,,,,,,,,,,,,,,
N5-02,1008,Dimension 1,2.27,0.10,1.74,0.45,1.15,1.68,1.90,3.50,0.70,0.81,1.43,,,,,
,,Dimension 2,2.13,0.10,1.74,0.45,1.20,1.57,1.50,2.98,0.70,0.81,1.318,1.88474,1.482734343,,,
,,,,,,,,,,,,,,,,,,
N5-05,1005,Dimension 1,1.52,3.13,0.75,4.23,4.16,4.44,0.74,2.88,2.60,2.30,2.675,,,,,
,,Dimension 2,3.33,9.49,0.75,4.71,4.17,4.44,0.74,2.89,3.93,2.13,3.658,9.78515,7.87496924,,,
,,,,,,,,,,,,,,,,,,
N5-12,1005,Dimension 1,2.36,1.93,2.60,1.16,2.57,1.86,1.88,0.82,3.98,4.44,2.36,,,,,
